Item,Part Number,QTY,Description,Vendor,Web Link
1,13mmBearingBracketLeft,1,3D printed (durable plastic) left bearing bracket,Ponoko,http://www.ponoko.com/design-your-own/products/left-bearing-bracket-11836
2,13mmBearingBracketRight,1,3D printed (durable plastic) right bearing bracket,Ponoko,http://www.ponoko.com/design-your-own/products/right-bearing-bracket-11837
3,77600,2,6x13x5 bearing,VXB,http://www.vxb.com/page/bearings/PROD/Kit272
4,56428,2,A 7Z 7M0614 Comprised of 2 Washers and a Retainer with Balls,SDP/SI,http://www.sdp-si.com/eStore/Catalog/PartNumber/A%207Z%207M0614
5,56559,2,6mm Bore; 16mm Outside Diameter; 8mm Width; Plain Collar; manufactured from Zinc Plated,SDP/SI,http://www.sdp-si.com/eStore/Catalog/PartNumber/A%207Z%202M116060
6,95947A062,2,Metric Aluminum Female Threaded Hex Standoff; 6mm Hex; 30mm Length,McMaster,http://www.mcmaster.com/#95947a250/=toyr1g
7,80mm shaft,1,6 (-.004/-.012) Dia; 80mm Long; 416 Stainless Steel Shaft,SDP/SI,http://www.sdp-si.com/eStore/Catalog/PartNumber/S40PX0MHG6M-080
8,77292,1,2.03 mm (MXL) Pitch; 20 Teeth; 6mm Bore; Aluminum T-Insert; Polycarbonate Timing Pulley for 6mm Wide Belt,SDP/SI,http://www.sdp-si.com/eStore/Catalog/PartNumber/A%206T16M020DF6006
9,HNTT5-5,4,HNTT5-5 - Pre-Assembly Fitting Spring Nuts,MISUMI,http://us.misumi-ec.com/vona2/detail/110302246150/?HissuCode=HNTT5-5&PNSearch=HNTT5-5
10,McMaster 91239A222,4,Button-Head Socket Cap Screw; M5 Size; 8 mm Length; .8 mm Pitch,McMaster,http://www.mcmaster.com/#91239a222/=toynmp
11,McMaster 91239A150,4,Steel Button-Head Socket Cap Screw; M4 Size; 16 mm Length; .7 mm Pitch,McMaster,http://www.mcmaster.com/#91239a150/=toy59b
